timestamp,line,pattern,message,pod
2026-06-01 06:30:08.687000+00:00,4235,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-y6dpb
2026-06-01 06:31:12.004000+00:00,4252,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-y6dpb
2026-06-01 06:31:52.777000+00:00,4261,gc_overhead,GC overhead limit warning: pause=551ms heap=99%,cart-service-7d9f8b-hsahx
2026-06-01 06:33:19.080000+00:00,4286,gc_overhead,GC overhead limit warning: pause=648ms heap=90%,cart-service-7d9f8b-xaji0
2026-06-01 06:34:37.847000+00:00,4303,gc_overhead,GC overhead limit warning: pause=404ms heap=89%,cart-service-7d9f8b-xaji0
2026-06-01 06:34:53.608000+00:00,4305,gc_overhead,GC overhead limit warning: pause=500ms heap=99%,cart-service-7d9f8b-thv3a
2026-06-01 06:35:37.651000+00:00,4316,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 06:35:42.481000+00:00,4318,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 06:37:30.166000+00:00,4345,gc_overhead,GC overhead limit warning: pause=750ms heap=95%,cart-service-7d9f8b-y6dpb
2026-06-01 06:37:41.700000+00:00,4347,gc_overhead,GC overhead limit warning: pause=259ms heap=89%,cart-service-7d9f8b-thv3a
2026-06-01 06:38:21.737000+00:00,4354,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 06:42:44.195000+00:00,4422,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-xaji0
2026-06-01 06:43:30.237000+00:00,4432,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-hsahx
2026-06-01 06:43:35.075000+00:00,4433,gc_overhead,GC overhead limit warning: pause=543ms heap=93%,cart-service-7d9f8b-thv3a
2026-06-01 06:44:13.798000+00:00,4442,gc_overhead,GC overhead limit warning: pause=765ms heap=90%,cart-service-7d9f8b-y6dpb
2026-06-01 06:45:49.394000+00:00,4464,gc_overhead,GC overhead limit warning: pause=417ms heap=96%,cart-service-7d9f8b-thv3a
2026-06-01 06:48:24.070000+00:00,4495,gc_overhead,GC overhead limit warning: pause=517ms heap=94%,cart-service-7d9f8b-xaji0
2026-06-01 06:49:21.179000+00:00,4508,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-y6dpb
2026-06-01 06:49:37.481000+00:00,4513,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-hsahx
2026-06-01 06:49:55.499000+00:00,4519,gc_overhead,GC overhead limit warning: pause=340ms heap=93%,cart-service-7d9f8b-hsahx
2026-06-01 06:52:28.144000+00:00,4562,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 06:52:33.099000+00:00,4566,gc_overhead,GC overhead limit warning: pause=434ms heap=87%,cart-service-7d9f8b-y6dpb
2026-06-01 06:55:14.363000+00:00,4598,gc_overhead,GC overhead limit warning: pause=735ms heap=92%,cart-service-7d9f8b-thv3a
2026-06-01 06:55:15.914000+00:00,4599,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 06:55:26.320000+00:00,4603,gc_overhead,GC overhead limit warning: pause=316ms heap=93%,cart-service-7d9f8b-y6dpb
2026-06-01 06:56:02.614000+00:00,4613,gc_overhead,GC overhead limit warning: pause=653ms heap=91%,cart-service-7d9f8b-hsahx
2026-06-01 06:56:36.506000+00:00,4620,gc_overhead,GC overhead limit warning: pause=576ms heap=96%,cart-service-7d9f8b-hsahx
2026-06-01 06:57:21.004000+00:00,4632,gc_overhead,GC overhead limit warning: pause=293ms heap=99%,cart-service-7d9f8b-xaji0
2026-06-01 06:58:02.963000+00:00,4645,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-xaji0
2026-06-01 07:00:24.731000+00:00,4678,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-y6dpb
2026-06-01 07:00:30.328000+00:00,4679,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-y6dpb
2026-06-01 07:00:49.848000+00:00,4683,gc_overhead,GC overhead limit warning: pause=419ms heap=94%,cart-service-7d9f8b-hsahx
2026-06-01 07:01:13.563000+00:00,4693,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-hsahx
2026-06-01 07:02:08.584000+00:00,4702,gc_overhead,GC overhead limit warning: pause=318ms heap=94%,cart-service-7d9f8b-hsahx
2026-06-01 07:04:58.728000+00:00,4742,gc_overhead,GC overhead limit warning: pause=632ms heap=93%,cart-service-7d9f8b-xaji0
2026-06-01 07:05:47.102000+00:00,4755,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 07:05:48.236000+00:00,4756,gc_overhead,GC overhead limit warning: pause=792ms heap=98%,cart-service-7d9f8b-xaji0
2026-06-01 07:06:19.458000+00:00,4762,gc_overhead,GC overhead limit warning: pause=289ms heap=85%,cart-service-7d9f8b-xaji0
2026-06-01 07:07:09.724000+00:00,4773,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 07:08:21.145000+00:00,4783,gc_overhead,GC overhead limit warning: pause=787ms heap=97%,cart-service-7d9f8b-thv3a
2026-06-01 07:08:38.825000+00:00,4787,gc_overhead,GC overhead limit warning: pause=617ms heap=96%,cart-service-7d9f8b-thv3a
2026-06-01 07:08:43.875000+00:00,4788,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-y6dpb
2026-06-01 07:08:51.289000+00:00,4791,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-thv3a
2026-06-01 07:09:10.295000+00:00,4797,gc_overhead,GC overhead limit warning: pause=457ms heap=86%,cart-service-7d9f8b-xaji0
2026-06-01 07:09:45.456000+00:00,4801,cache_eviction_failed,ProductCatalogCache eviction failed: heap pressure too high,cart-service-7d9f8b-hsahx
2026-06-01 07:10:09.289000+00:00,4806,gc_overhead,GC overhead limit warning: pause=468ms heap=98%,cart-service-7d9f8b-thv3a
2026-06-01 07:10:22.970000+00:00,4810,gc_overhead,GC overhead limit warning: pause=667ms heap=89%,cart-service-7d9f8b-thv3a
2026-06-01 07:10:40.213000+00:00,4815,gc_overhead,GC overhead limit warning: pause=714ms heap=91%,cart-service-7d9f8b-hsahx
2026-06-01 07:11:11.564000+00:00,4825,gc_overhead,GC overhead limit warning: pause=433ms heap=91%,cart-service-7d9f8b-y6dpb
