timestamp,memory_usage_bytes,memory_limit_bytes,cpu_usage_percent,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,jvm_gc_pause_ms_avg,container_restart_count,memory_mb,memory_pct,memory_rate_mb_per_min,latency_rate_ms_per_min,gc_rate_ms_per_min,memory_mb_rolling_mean_1h,memory_mb_rolling_std_1h,memory_mb_rolling_zscore,memory_mb_rolling_mad_score,memory_pct_rolling_mean_1h,memory_pct_rolling_std_1h,memory_pct_rolling_zscore,memory_pct_rolling_mad_score,jvm_gc_pause_ms_avg_rolling_mean_1h,jvm_gc_pause_ms_avg_rolling_std_1h,jvm_gc_pause_ms_avg_rolling_zscore,jvm_gc_pause_ms_avg_rolling_mad_score,http_p99_latency_ms_rolling_mean_1h,http_p99_latency_ms_rolling_std_1h,http_p99_latency_ms_rolling_zscore,http_p99_latency_ms_rolling_mad_score,http_5xx_rate_rolling_mean_1h,http_5xx_rate_rolling_std_1h,http_5xx_rate_rolling_zscore,http_5xx_rate_rolling_mad_score
2026-06-01 00:00:00+00:00,490862569,2147483648,24.48,47.24,55.1,1.19,46.5,0,468.1230249404907,22.8575695771724,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:00:30+00:00,331629035,2147483648,33.25,39.07,30.0,1.86,18.8,0,316.26609325408936,15.442680334672332,-303.71386337280273,-50.2,-55.4,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:01:00+00:00,437356553,2147483648,37.01,42.05,79.1,0.0,57.9,0,417.09571170806885,20.36600154824555,201.65923690795898,98.19999999999999,78.19999999999999,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:01:30+00:00,404494683,2147483648,30.92,45.85,30.0,0.01,75.7,0,385.7561902999878,18.83575147949159,-62.67904281616211,-98.19999999999999,35.60000000000001,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:02:00+00:00,410164037,2147483648,28.13,42.91,113.1,0.02,25.4,0,391.16290760040283,19.09975134767592,10.813434600830078,166.2,-100.60000000000001,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:02:30+00:00,420096497,2147483648,21.91,38.15,44.2,0.0,49.7,0,400.63523960113525,19.562267558649182,18.944664001464844,-137.79999999999998,48.60000000000001,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:03:00+00:00,358572891,2147483648,19.87,46.0,30.5,1.43,27.0,0,341.9617567062378,16.697351401671767,-117.34696578979492,-27.400000000000006,-45.400000000000006,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:03:30+00:00,422778034,2147483648,35.73,29.53,33.2,0.77,29.4,0,403.1925525665283,19.687136355787516,122.46159172058105,5.400000000000006,4.799999999999997,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:04:00+00:00,402228614,2147483648,16.53,45.45,113.8,1.17,17.1,0,383.5950984954834,18.730229418724775,-39.194908142089844,161.2,-24.599999999999994,,,,,,,,,,,,,,,,,,,,
2026-06-01 00:04:30+00:00,550422495,2147483648,19.48,41.44,66.0,0.91,27.0,0,524.9237966537476,25.631044758483768,282.6573963165283,-95.6,19.799999999999997,403.2712371826172,59.040905578917055,2.0604792267036522,,19.69097837805748,2.882856717720559,2.0604792267036527,,37.45,19.15894047174843,-0.5454372602393885,,59.5,32.955357008467615,0.19723652207226514,,0.736,0.6907355178037072,0.25190539000116574,
2026-06-01 00:05:00+00:00,443616417,2147483648,11.36,38.55,61.5,0.0,53.1,0,423.06558322906494,20.657499181106687,-203.71642684936523,-9.0,52.2,405.0707231868397,56.328193003983884,0.31946453600868274,,19.778843905607406,2.7504000490226503,0.3194645360086832,,38.872727272727275,18.778290172914623,0.7576447374209724,,59.68181818181818,31.270011774280427,0.05814458374068391,,0.6690909090909091,0.6918447014389074,-0.9671114163327771,
