timestamp,memory_usage_bytes,memory_limit_bytes,cpu_usage_percent,http_requests_per_sec,http_p99_latency_ms,http_5xx_rate,jvm_gc_pause_ms_avg,container_restart_count
2026-06-01T00:00:00Z,490862569,2147483648,24.48,47.24,55.1,1.19,46.5,0
2026-06-01T00:00:30Z,331629035,2147483648,33.25,39.07,30.0,1.86,18.8,0
2026-06-01T00:01:00Z,437356553,2147483648,37.01,42.05,79.1,0.0,57.9,0
2026-06-01T00:01:30Z,404494683,2147483648,30.92,45.85,30.0,0.01,75.7,0
2026-06-01T00:02:00Z,410164037,2147483648,28.13,42.91,113.1,0.02,25.4,0
2026-06-01T00:02:30Z,420096497,2147483648,21.91,38.15,44.2,0.0,49.7,0
2026-06-01T00:03:00Z,358572891,2147483648,19.87,46.0,30.5,1.43,27.0,0
2026-06-01T00:03:30Z,422778034,2147483648,35.73,29.53,33.2,0.77,29.4,0
2026-06-01T00:04:00Z,402228614,2147483648,16.53,45.45,113.8,1.17,17.1,0
2026-06-01T00:04:30Z,550422495,2147483648,19.48,41.44,66.0,0.91,27.0,0
2026-06-01T00:05:00Z,443616417,2147483648,11.36,38.55,61.5,0.0,53.1,0
2026-06-01T00:05:30Z,424957022,2147483648,17.14,42.37,30.0,0.65,52.3,0
2026-06-01T00:06:00Z,429027008,2147483648,23.97,44.7,57.3,2.0,60.7,0
2026-06-01T00:06:30Z,417050089,2147483648,31.49,35.51,46.5,0.08,46.2,0
2026-06-01T00:07:00Z,405046692,2147483648,23.2,40.48,85.4,0.0,15.6,0
2026-06-01T00:07:30Z,429828725,2147483648,18.5,37.08,30.0,0.0,48.0,0
2026-06-01T00:08:00Z,461888145,2147483648,18.53,38.39,87.2,2.0,45.7,0
2026-06-01T00:08:30Z,438166440,2147483648,15.99,43.22,30.0,0.0,32.8,0
2026-06-01T00:09:00Z,481514567,2147483648,18.96,36.82,30.0,0.0,33.3,0
2026-06-01T00:09:30Z,442457558,2147483648,25.88,33.73,54.5,0.94,26.1,0
2026-06-01T00:10:00Z,451736764,2147483648,30.83,37.49,53.9,0.0,36.4,0
2026-06-01T00:10:30Z,506406897,2147483648,24.91,46.96,30.0,2.0,43.4,0
2026-06-01T00:11:00Z,472774818,2147483648,13.47,45.74,30.0,1.29,91.4,0
2026-06-01T00:11:30Z,437382593,2147483648,16.74,43.01,30.0,2.0,54.1,0
2026-06-01T00:12:00Z,450011286,2147483648,25.87,46.98,67.0,0.65,41.9,0
2026-06-01T00:12:30Z,476648737,2147483648,19.43,38.07,76.8,0.0,21.7,0
2026-06-01T00:13:00Z,526751896,2147483648,10.11,35.7,70.5,2.0,32.2,0
2026-06-01T00:13:30Z,450853426,2147483648,33.36,34.76,59.8,0.12,61.9,0
2026-06-01T00:14:00Z,453003903,2147483648,18.95,40.9,65.9,0.0,24.7,0
2026-06-01T00:14:30Z,497818901,2147483648,20.7,41.22,34.7,0.0,48.2,0
2026-06-01T00:15:00Z,432891614,2147483648,15.7,32.65,54.8,0.0,53.1,0
2026-06-01T00:15:30Z,454856801,2147483648,13.06,51.17,42.4,0.21,15.7,0
2026-06-01T00:16:00Z,497073893,2147483648,29.05,42.91,37.8,0.0,65.9,0
2026-06-01T00:16:30Z,487583257,2147483648,11.31,30.73,98.1,0.47,27.0,0
2026-06-01T00:17:00Z,471527280,2147483648,13.6,29.27,50.4,0.0,25.6,0
2026-06-01T00:17:30Z,492797528,2147483648,27.29,39.42,78.7,0.07,12.6,0
2026-06-01T00:18:00Z,371343667,2147483648,35.5,39.11,30.0,0.0,48.2,0
2026-06-01T00:18:30Z,507025675,2147483648,31.18,32.18,42.4,0.89,26.8,0
2026-06-01T00:19:00Z,438607423,2147483648,20.18,37.89,34.0,0.0,40.9,0
2026-06-01T00:19:30Z,414672186,2147483648,20.82,37.6,39.4,2.0,6.5,0
2026-06-01T00:20:00Z,483591608,2147483648,24.99,36.96,45.3,2.0,52.9,0
2026-06-01T00:20:30Z,499239862,2147483648,25.31,44.02,58.6,0.03,42.2,0
2026-06-01T00:21:00Z,459920822,2147483648,17.36,31.01,52.2,0.0,38.9,0
2026-06-01T00:21:30Z,438541951,2147483648,26.34,36.95,36.6,0.0,81.6,0
2026-06-01T00:22:00Z,477820079,2147483648,20.32,31.0,90.3,0.0,50.0,0
2026-06-01T00:22:30Z,475709718,2147483648,12.96,37.89,31.7,2.0,27.7,0
2026-06-01T00:23:00Z,527362137,2147483648,17.67,38.47,76.8,0.0,57.1,0
2026-06-01T00:23:30Z,504895554,2147483648,23.58,48.65,36.5,1.51,90.0,0
2026-06-01T00:24:00Z,486049249,2147483648,30.46,32.58,30.0,0.1,28.8,0
2026-06-01T00:24:30Z,518661283,2147483648,31.88,38.44,82.5,0.55,51.8,0
2026-06-01T00:25:00Z,473007891,2147483648,24.15,36.55,30.0,0.08,46.8,0
2026-06-01T00:25:30Z,448200140,2147483648,12.9,37.71,30.0,0.0,26.4,0
2026-06-01T00:26:00Z,501412166,2147483648,23.27,33.69,64.1,0.0,35.3,0
2026-06-01T00:26:30Z,501680294,2147483648,29.99,31.13,42.0,0.44,68.8,0
2026-06-01T00:27:00Z,474051365,2147483648,7.03,33.8,30.0,0.8,40.1,0
2026-06-01T00:27:30Z,454408416,2147483648,30.14,33.14,52.6,1.5,34.9,0
2026-06-01T00:28:00Z,490020694,2147483648,10.57,42.1,85.0,1.94,81.1,0
2026-06-01T00:28:30Z,394864715,2147483648,25.97,36.2,64.7,0.0,57.6,0
2026-06-01T00:29:00Z,506413104,2147483648,22.54,44.53,56.1,0.92,54.6,0
2026-06-01T00:29:30Z,499521289,2147483648,28.02,32.59,64.1,0.0,13.7,0
2026-06-01T00:30:00Z,424984959,2147483648,33.34,27.94,36.9,0.0,45.6,0
2026-06-01T00:30:30Z,484470773,2147483648,28.26,34.12,73.4,0.48,33.6,0
2026-06-01T00:31:00Z,448515249,2147483648,17.15,35.18,49.2,0.46,32.9,0
2026-06-01T00:31:30Z,508653751,2147483648,17.85,47.7,30.0,0.0,50.6,0
2026-06-01T00:32:00Z,410804452,2147483648,34.28,31.33,30.0,1.68,47.3,0
2026-06-01T00:32:30Z,449799408,2147483648,26.17,41.31,51.1,1.73,39.1,0
2026-06-01T00:33:00Z,506405676,2147483648,4.44,35.34,52.4,0.04,61.6,0
2026-06-01T00:33:30Z,521765486,2147483648,2.36,33.81,47.3,0.0,67.6,0
2026-06-01T00:34:00Z,405439937,2147483648,30.86,41.9,30.0,0.87,67.0,0
2026-06-01T00:34:30Z,463175231,2147483648,39.7,33.96,56.7,0.0,43.0,0
2026-06-01T00:35:00Z,491681901,2147483648,30.92,46.7,30.0,0.0,47.8,0
2026-06-01T00:35:30Z,458431556,2147483648,18.88,40.5,30.0,0.03,59.6,0
2026-06-01T00:36:00Z,534938110,2147483648,22.04,41.28,35.4,0.0,50.7,0
2026-06-01T00:36:30Z,437043340,2147483648,2.0,36.12,83.0,0.0,1.0,0
2026-06-01T00:37:00Z,490574819,2147483648,10.76,39.32,76.8,0.0,70.8,0
2026-06-01T00:37:30Z,440861681,2147483648,28.28,42.27,48.9,0.0,80.4,0
2026-06-01T00:38:00Z,526114413,2147483648,25.51,33.34,74.9,0.0,68.3,0
2026-06-01T00:38:30Z,475458363,2147483648,2.0,36.79,64.4,1.59,41.5,0
2026-06-01T00:39:00Z,462458913,2147483648,34.18,32.58,33.3,0.92,38.0,0
